,review,Sentiment_Score,Sentiment_Label
3500,06.40 flight 4 August Glasgow to London City cancelled with no explanation. Typical BA service nobody about to assist with alternative arrangements or any concept of customer care. So much for the worlds favourite airline. Third rate which is what I have come to expect from them.,0.0,Neutral
3663,08/5/2014 JFK-LHR-BRU. After the perfect outbound flight we thought that the inbound flight could not be the same. The lounge is JFK was very crowded and not really relaxed. Boarding was again relaxed with a perfect crew on the Upper deck friendly and relaxed. Slept nearly the all flight in perfect conditions. The flight LHR-BRU was delayed with more than 40 minutes but the captain excused humbly for the delay and gave us plenty of information. business cabin was full but the service on this short flight was more than excellent.,0.7543,Positive
3038,"10 April 2015 Airbus A320 Business Heathrow to Rome FCO. A total waste of money. The food was ""tea"" there was no entertainment system and the only difference I could find from premium coach or regular coach was that the middle seat was empty and a portable table was placed between the arm rests. As alcoholic beverages are provided for all classes there's nothing to be gained there the seat pitch was pathetic and aside from having the middle seat empty the only benefit to be had was boarding and de-planing first. Don't waste your money unless someone else is paying for it.",-0.8585,Negative
2922,"10/6/15, LHR-GLA, A321, Seat 9A.  Was able to choose this seat in advance which has plenty of legroom as no seat in front.  Flight was pretty full.  Cabin crew were all extremely friendly and helpful welcoming every passenger individually.  Flight was delayed by difficulty in storing the silly amount of carry on baggage people brought on board.  Some stuff was obviously way bigger than the allowed size.  It took ages to get it all sorted which was ridiculous, however the crew kept smiling though it all.  Again new configuration seating which I found pretty comfortable.  Drink and snack was served as usual.  Landed nearly 30 mins late to discover my baggage had not made it from GRR which was quite annoying.  Overall good flight though.",0.9374,Positive
3534,10th July BA117 LHR-JFK. Well I have not flown with BA for a number of years as they are not my favourite airline from past experience. We were travelling with hand luggage so should be easy. Decided to not pre purchase seats but go for online check in and seat selection. All very easy and got good seats on 777-300 should have been 747 but obviously had an aircraft change. So we arrive at airport and go to security and scan our boarding cards get rejected you need to get your passport and visa validated from the BA desk before you can proceed. Would be good if this was shown on boarding pass. Boarding very good onto a new plane good seats good entertainment staff seemed interested and engaging. All the crew seemed very good. I walked off the aircraft with my view of BA restored would I fly again with them yes.,0.994,Positive
3511,12/2013. LHR-LAX. A380. Aircraft was clean. Seats were comfortable but the leg space was restricted by the IFE- computer which has been installed underneath the seat in front. Amenity kit contained a cushion blanket headphones and toothbrush. There were no eye shades and ear plugs. Food both ways the same selection: Tikka Masala or macaroni and cheese of average quality followed by a small ice cream and a sandwich or breakfast croissant. FA's lacked courteousness friendliness and motivation. There was on both flights repeatedly no reaction to the call button and they were several hours not present in the cabin. IFE-system is good with a big selection of movies documentaries etc. Due to a malfunction the system had to be restarted which erased the preferences. This experience with British Airways is not compatible to other flag carriers due to the lack in service and the restricted seating.,-0.1027,Negative
3528,14/7/14 Trinidad-St Lucia-LGW Club. On the way down from St Lucia BA has an inexplicable outdated crew change. They are the ones from the previous days flight having a two day holiday in St Lucia. Check in at POS is usually unprofessional trini-style. BA shares a lounge which has a colonial style dress code so I had to nip to the loo to change from my shorts to trousers left on time for the 45min trip to St Lucia where the bulk of holidaymakers board back to LGW. I was positive as I heard the new POS-St Lucia cabin crew ask each other if they wanted a beer! They then landed in St Lucia and were busy saying goodbye to each other and the incoming new crew but not saying goodbye to the departing POS-St Lucia passengers! St Lucia-LGW with new crew. Girl came around with newspapers and I said 'FT' please which she had in her hand but she had no clue what the FT was! Did not dare ask for top up to the one glass of bubbly as it is clear as soon as the various jobs are done by various designated crew that's it. New male wash bag is a laugh so I asked for the female wash bag which actually is slightly better. Flight got very cold and I asked for an extra blanket. Told politely but firmly 'sorry' yet there were loads in overhead lockers which I found later. The point about most BA flights these days is to expect nothing and when u get the odd staff member who actually does that extra to consider it as a bonus.,0.9767,Positive
3023,15th Aug 2014 flight BA0272. Me and my 3 friends flew from SAN to LHR then to IST. Our check in and baggage processes took almost 2 hours to be completed. I wonder what would happen if we were not been there 5 hours before our flight. When they gave us our tickets we saw that they put us all separately. They could not even manage to sit us together. When I was thinking how could this get worse we missed our LHR-IST flight and waited in a queue for 3 hours to go to our hotel. While a clerk was trying to complete our check-in for 2 hours another clerk next to her managed to complete half of the passengers processes and when we were boarding the plane we learnt that the plane was overbooked and the other cl erk was offering 800 dollars per person and free accommodation for volunteer passengers to fly on the next plane.,0.2732,Positive
3032,17 April 2015 Airbus A320 Business Heathrow to Lisbon. A total waste of money. The food was horrible. A couple of sandwiches and a lousy bread served with jam. There was no entertainment system and the only difference I could find from economy was that the middle seat was empty and a portable table was placed between the arm rests. The seat pitch was pathetic and could not even get a rest. I am very disappointed that I did not choose TAP instead of British.,-0.9524,Negative
2416,"1730 British Airways flight from Barcelona to Heathrow on 30th January, seated in 28F right at the back. Flight was chockers. We were delayed taking off by an hour due to problems with French Air Traffic Control testing a new computer system. I had onward connection to Hong Kong which was already tight, told the crew, they responded promptly, and I was met at Heathrow with a luminescent envelope which gave me priority through security (I just made the connection). Onboard the crew were upbeat and attentive, the snack was fine, some sort of chicken roll and a very good coffee and chocolate cake. I guess it was the last flight of the day, so it had that lovely end of term feel about it, everyone was relaxed despite the delay. I think people are a bit hard on BA, they're not flash but for short hops anyway they get the job done.",0.6886,Positive
