num_passengers,purchase_lead,length_of_stay,flight_hour,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,flight_day_num,sales_channel_encoded,trip_type_encoded,route_encoded,booking_origin_encoded
2,262,19,7,1,0,0,5.52,0,6,0,0,0.0004,0.02148
1,112,20,3,0,0,0,5.52,0,6,0,0,0.0004,0.02148
2,243,22,17,1,1,0,5.52,0,3,0,0,0.0004,0.0254
1,96,31,4,0,0,1,5.52,0,6,0,0,0.0004,0.02148
2,68,22,15,1,0,1,5.52,0,3,0,0,0.0004,0.0254
1,3,48,20,1,0,1,5.52,0,4,0,0,0.0004,0.02148
3,201,33,6,1,0,1,5.52,0,4,0,0,0.0004,0.02148
2,238,19,14,1,0,1,5.52,0,1,0,0,0.0004,0.0254
1,80,22,4,0,0,1,5.52,0,1,0,0,0.0004,0.02148
1,378,30,12,0,0,0,5.52,0,7,1,0,0.0004,0.0254
2,185,25,14,1,1,1,5.52,0,2,0,0,0.0004,0.00346
1,8,43,2,1,1,1,5.52,0,6,0,0,0.0004,0.02148
4,265,24,19,1,0,1,5.52,0,1,0,0,0.0004,0.02148
1,185,17,14,0,0,0,5.52,0,5,0,0,0.0004,0.0254
1,245,34,4,1,1,1,5.52,0,2,0,0,0.0004,0.02148
1,192,18,14,1,0,0,5.52,0,4,0,0,0.0004,0.0254
1,259,37,6,0,0,0,5.52,0,7,0,0,0.0004,0.0254
1,19,29,10,0,0,1,5.52,0,6,0,0,0.0004,0.02148
1,67,155,8,1,0,0,5.52,0,7,0,0,0.0004,0.02148
1,351,17,3,0,0,0,5.07,0,7,0,0,2e-05,0.06774
2,228,29,23,1,0,0,7.57,0,3,0,2,4e-05,0.02148
1,21,88,9,1,0,1,6.62,0,3,0,0,0.0014,0.09118
2,23,19,8,1,0,1,6.62,0,1,0,0,0.0014,0.02148
2,25,27,13,1,0,1,6.62,0,5,0,0,0.0014,0.09118
1,16,21,6,1,0,1,6.62,0,4,0,0,0.0014,0.02148
1,66,20,7,1,0,0,6.62,0,4,0,0,0.0014,0.09118
1,51,28,6,0,0,0,6.62,0,5,0,0,0.0014,0.09118
2,37,24,7,1,0,0,6.62,0,1,0,0,0.0014,0.02148
1,101,19,11,1,0,1,6.62,0,2,0,0,0.0014,0.09118
1,19,47,2,1,0,1,6.62,0,2,0,0,0.0014,0.02148
1,16,35,23,1,1,0,6.62,0,3,0,0,0.0014,0.02148
2,7,82,4,1,0,1,6.62,0,4,0,0,0.0014,0.09118
1,5,27,0,0,0,1,6.62,0,5,0,0,0.0014,0.02148
1,185,34,4,1,0,1,6.62,0,1,0,0,0.0014,0.02148
1,21,22,7,1,1,0,6.62,0,5,0,0,0.0014,0.02148
1,7,27,4,0,0,1,6.62,0,3,0,0,0.0014,0.02148
1,33,22,14,1,0,0,6.62,0,6,0,0,0.0014,0.09118
6,20,22,3,1,1,1,6.62,0,5,0,0,0.0014,0.09118
2,56,21,7,1,0,0,6.62,0,4,0,0,0.0014,0.02148
1,3,33,1,1,0,1,6.62,0,1,0,0,0.0014,0.09118
1,13,26,7,1,0,0,6.62,0,1,0,0,0.0014,0.09118
1,71,90,7,1,1,1,6.62,0,4,0,0,0.0014,0.09118
2,346,23,8,1,0,1,6.62,0,1,0,0,0.0014,0.09118
1,9,84,7,1,0,0,6.62,0,3,0,0,0.0014,0.02148
1,65,22,14,1,0,0,6.62,0,4,0,0,0.0014,0.09118
1,221,61,2,0,0,0,6.62,0,7,1,0,0.0014,0.02148
1,65,18,14,0,0,1,6.62,0,3,0,0,0.0014,0.09118
2,7,40,7,1,0,1,6.62,0,3,0,0,0.0014,0.09118
1,107,24,14,0,1,0,6.62,0,5,0,0,0.0014,0.09118
1,14,27,10,0,0,0,6.62,0,3,0,0,0.0014,0.02148
1,77,96,9,1,0,1,6.62,0,2,0,0,0.0014,0.02148
1,65,17,9,1,0,0,6.62,0,3,0,0,0.0014,0.02148
1,24,25,8,1,0,1,6.62,0,4,0,0,0.0014,0.09118
1,47,69,2,1,1,1,6.62,0,3,0,0,0.0014,0.09118
1,22,89,14,1,0,1,6.62,0,2,0,0,0.0014,0.09118
2,11,25,4,1,0,1,6.62,0,4,0,0,0.0014,0.09118
1,35,25,6,0,0,1,6.62,0,2,0,0,0.0014,0.09118
1,272,21,14,1,0,0,6.62,0,2,0,0,0.0014,0.02148
1,20,18,10,0,0,0,6.62,0,1,0,0,0.0014,0.02148
1,250,23,9,1,0,1,6.62,0,7,0,0,0.0014,0.09118
1,161,58,2,1,0,1,6.62,0,6,0,0,0.0014,0.09118
4,128,21,9,1,1,0,6.62,0,1,0,0,0.0014,0.02148
1,190,27,14,1,0,1,6.62,0,7,0,0,0.0014,0.09118
4,311,27,6,0,1,0,6.62,0,6,0,0,0.0014,0.02148
1,27,56,7,1,0,1,6.62,0,5,0,0,0.0014,0.09118
2,314,43,10,0,0,0,6.62,0,7,0,0,0.0014,0.02148
1,25,29,11,1,0,1,6.62,0,3,0,0,0.0014,0.09118
1,102,110,6,1,0,0,6.62,0,2,0,0,0.0014,0.09118
1,24,19,8,1,0,1,6.62,0,1,0,0,0.0014,0.09118
1,2,165,3,1,0,0,7.0,0,1,0,0,0.00016,0.0777
1,26,111,13,1,0,1,7.0,0,1,0,0,0.00016,0.0777
1,32,34,23,0,0,0,7.0,0,7,0,0,0.00016,0.02148
2,57,38,5,1,0,0,7.0,0,7,0,0,0.00016,0.02148
1,198,207,10,1,0,1,7.0,0,7,0,0,0.00016,0.0777
1,23,27,11,0,0,0,7.0,0,6,0,0,0.00016,0.0777
1,33,20,6,1,0,0,4.75,0,5,0,0,0.00014,0.02148
2,120,91,3,1,0,1,4.75,0,1,0,0,0.00014,0.02148
2,69,34,4,1,0,0,4.75,0,4,0,0,0.00014,0.02148
1,281,18,3,1,0,0,4.75,0,3,1,2,0.00014,0.02148
1,282,18,19,1,0,0,4.75,0,2,0,2,0.00014,0.02148
1,69,21,3,1,0,0,4.75,0,3,0,0,0.00014,0.02148
1,67,1,10,1,0,0,4.75,0,2,0,1,0.00014,0.02148
1,15,31,17,0,0,0,8.83,1,1,0,0,0.0536,0.14348
1,31,274,10,1,0,0,8.83,0,2,0,0,0.0536,0.14348
1,316,35,16,1,0,0,8.83,0,2,0,0,0.0536,0.14348
2,232,17,3,1,1,1,8.83,0,2,0,0,0.0536,0.14348
1,156,19,14,1,0,0,8.83,1,1,0,0,0.0536,0.14348
1,196,44,23,1,0,0,8.83,0,2,0,0,0.0536,0.02148
1,283,38,9,1,0,0,8.83,0,1,0,0,0.0536,0.02148
1,34,24,5,1,0,0,8.83,0,5,0,0,0.0536,0.02148
1,63,57,8,0,0,0,8.83,0,1,1,0,0.0536,0.02148
1,5,18,4,0,0,0,8.83,0,2,0,0,0.0536,0.02148
1,6,106,19,0,0,0,8.83,0,2,0,0,0.0536,0.14348
1,227,68,2,1,1,0,8.83,0,5,0,0,0.0536,0.14348
1,181,87,2,1,0,1,8.83,1,2,0,0,0.0536,0.02088
1,8,33,3,0,0,0,8.83,0,2,0,0,0.0536,0.02148
2,138,35,19,1,0,1,8.83,0,5,0,0,0.0536,0.00036
1,134,37,20,0,1,0,8.83,0,3,0,0,0.0536,0.02148
2,8,29,18,1,0,0,8.83,0,4,0,0,0.0536,0.02148
1,23,51,13,1,0,1,8.83,0,5,0,0,0.0536,0.02148
1,57,21,1,1,1,1,8.83,0,7,1,0,0.0536,0.14348
2,85,19,0,1,1,0,8.83,0,1,0,0,0.0536,0.02148
1,65,31,23,0,0,0,8.83,0,7,0,0,0.0536,0.02148
1,27,1,13,1,1,0,8.83,0,2,0,1,0.0536,0.02148
1,93,196,8,1,0,0,8.83,0,2,0,0,0.0536,0.00114
1,16,77,8,0,0,1,8.83,0,1,1,0,0.0536,0.02148
2,118,17,8,1,0,1,8.83,0,2,0,0,0.0536,0.02148
2,90,20,7,0,0,1,8.83,0,4,0,0,0.0536,0.14348
1,168,41,23,1,0,1,8.83,0,1,0,0,0.0536,0.02148
1,127,17,16,1,0,1,8.83,1,2,1,0,0.0536,0.14348
2,18,17,6,1,1,1,8.83,0,1,1,0,0.0536,0.02148
1,153,30,10,1,1,0,8.83,0,2,0,0,0.0536,0.02148
1,51,21,9,1,0,1,8.83,0,6,0,0,0.0536,0.14348
2,186,27,2,1,1,1,8.83,0,2,0,0,0.0536,0.02148
1,5,87,5,1,0,0,8.83,0,2,0,0,0.0536,0.14348
1,65,278,2,0,0,0,8.83,0,4,0,0,0.0536,0.14348
1,2,18,6,1,1,0,8.83,0,4,0,0,0.0536,0.02148
1,263,58,4,0,1,0,8.83,0,7,0,0,0.0536,0.14348
6,172,28,0,0,0,1,8.83,0,6,0,0,0.0536,0.02148
1,161,108,2,1,1,0,8.83,0,4,0,0,0.0536,0.02148
4,230,29,17,1,0,1,8.83,0,1,0,0,0.0536,0.14348
1,7,21,0,0,0,0,8.83,0,1,0,0,0.0536,0.04738
1,42,17,14,0,0,0,8.83,1,2,0,0,0.0536,0.14348
1,71,29,10,1,0,0,8.83,0,5,0,0,0.0536,0.02148
1,22,180,13,1,0,0,8.83,1,4,0,0,0.0536,0.14348
1,81,21,4,1,0,0,8.83,0,5,0,0,0.0536,0.02148
2,140,18,7,1,0,0,8.83,0,7,0,0,0.0536,0.06774
1,42,72,14,0,0,1,8.83,0,6,1,0,0.0536,0.02148
1,168,32,2,1,1,0,8.83,0,2,0,0,0.0536,0.02148
1,285,30,12,1,1,1,8.83,0,3,0,0,0.0536,0.00016
2,179,18,11,1,0,1,8.83,0,4,0,0,0.0536,0.14348
2,341,21,10,1,0,0,8.83,0,6,0,0,0.0536,0.02148
2,96,51,3,1,0,1,8.83,0,4,0,0,0.0536,0.02148
4,173,17,1,1,0,1,8.83,0,4,0,0,0.0536,0.02148
1,180,24,9,0,1,1,8.83,0,3,0,0,0.0536,0.02148
4,366,17,16,1,0,1,8.83,0,7,0,0,0.0536,0.14348
3,229,17,13,1,1,1,8.83,1,1,0,0,0.0536,0.14348
2,174,61,11,1,0,1,8.83,0,2,0,0,0.0536,0.14348
2,82,25,18,1,0,0,8.83,0,5,0,0,0.0536,0.00016
1,75,62,6,0,0,0,8.83,0,1,0,0,0.0536,0.14348
2,163,21,10,1,0,0,8.83,0,1,0,0,0.0536,0.02148
1,105,21,8,1,0,0,8.83,0,5,0,0,0.0536,0.02148
2,276,45,6,1,0,1,8.83,0,1,0,0,0.0536,0.02148
1,35,31,3,1,0,0,8.83,0,4,0,0,0.0536,0.02148
1,110,26,23,1,0,0,8.83,0,3,0,0,0.0536,0.02148
1,83,44,3,1,0,0,8.83,0,6,0,0,0.0536,0.14348
1,154,25,22,1,0,0,8.83,0,1,1,0,0.0536,0.14348
1,118,19,1,1,0,1,8.83,0,2,0,0,0.0536,0.02148
1,55,20,22,0,0,0,8.83,0,3,0,0,0.0536,0.02148
1,45,35,1,0,0,0,8.83,0,6,1,0,0.0536,0.02148
1,54,23,4,0,0,1,8.83,0,7,0,0,0.0536,0.02148
1,193,19,13,0,0,0,8.83,0,2,0,0,0.0536,0.14348
1,10,91,23,1,0,0,8.83,1,2,0,0,0.0536,0.02088
1,166,18,20,1,0,1,8.83,0,3,0,0,0.0536,0.02148
1,97,25,9,1,0,0,8.83,0,7,0,0,0.0536,0.14348
5,239,17,12,1,0,1,8.83,0,4,0,0,0.0536,0.14348
2,97,50,8,1,1,1,8.83,0,6,0,0,0.0536,0.02148
1,182,28,10,0,0,1,8.83,0,7,0,0,0.0536,0.00776
1,99,21,13,0,0,0,8.83,1,7,0,0,0.0536,0.02088
1,23,59,9,1,0,1,8.83,0,2,0,0,0.0536,0.02148
1,53,18,9,1,1,0,8.83,0,1,1,0,0.0536,0.14348
1,28,125,12,0,0,0,8.83,0,6,0,0,0.0536,0.14348
1,384,18,5,0,0,0,8.83,0,4,0,0,0.0536,0.14348
